layout,algo,d,gflops,l1_miss,seconds
rm,banachiewicz,10,0.0383273925874823,94,8.697e-06
rm,banachiewicz,20,0.30768047382793,144,8.667e-06
rm,banachiewicz,50,1.42080974789152,389,2.9326e-05
rm,banachiewicz,100,1.70944554133867,1438,0.000194995
rm,banachiewicz,200,1.5798640013571,147130,0.001687909
rm,banachiewicz,500,1.43958000380072,1868383,0.028943627
rm,banachiewicz,1000,1.36731576249719,13052412,0.243786653
rm,banachiewicz,2000,1.30954422625369,94421035,2.036331888
rm,banachiewicz,3000,1.25363921714209,314139702,7.17909896
rm,crout,10,0.512032770097286,72,6.51e-07
rm,crout,20,1.23228589032656,137,2.164e-06
rm,crout,50,1.8409696755475,394,2.2633e-05
rm,crout,100,2.08049865391737,1217,0.000160218
rm,crout,200,1.70969433016206,144005,0.001559733
rm,crout,500,1.13568221670923,1918582,0.036688667
rm,crout,1000,1.41041892197941,13334902,0.236336402
rm,crout,2000,1.34579214203189,96377828,1.981484795
rm,crout,3000,1.29438604648252,316147774,6.953103384
cm,banachiewicz,10,0.171467764060357,153,1.944e-06
cm,banachiewicz,20,0.751809040503712,129,3.547e-06
cm,banachiewicz,50,1.44947702868805,423,2.8746e-05
cm,banachiewicz,100,2.06268074240005,3186,0.000161602
cm,banachiewicz,200,1.69591375939351,114476,0.001572407
cm,banachiewicz,500,1.47584059570877,17877392,0.028232498
cm,banachiewicz,1000,1.40851503765374,273488579,0.236655857
cm,banachiewicz,2000,1.24959656657698,2562782540,2.134022082
cm,banachiewicz,3000,1.06629673266051,8762999826,8.440427251
cm,crout,10,0.496770988574267,81,6.71e-07
cm,crout,20,1.46279027244469,177,1.823e-06
cm,crout,50,2.32839713141473,439,1.7895e-05
cm,crout,100,2.16865640892185,1464,0.000153705
cm,crout,200,1.73290478597976,70581,0.001538842
cm,crout,500,1.4440624225441,17221404,0.028853785
cm,crout,1000,1.39903272136774,273133011,0.238259855
cm,crout,2000,1.32026265842013,2564122467,2.019800113
cm,crout,3000,1.17731223751941,8763320454,7.644531088
