layout,kernel,d,P,gflops,l1_miss,seconds
rm,mc_paths,10,10000,0.481713287754498,181,0.002283516
rm,mc_paths,10,100000,0.446294773559566,601,0.024647387
rm,mc_paths,50,10000,1.23438640370331,1251,0.020658037
rm,mc_paths,50,100000,1.21071402719123,18251,0.210619514
rm,mc_paths,100,10000,1.42594466504546,2634023,0.070830238
rm,mc_paths,100,100000,1.39739099077401,30235917,0.72277552
rm,mc_paths,200,10000,1.40393455242675,20035285,0.286338134
rm,mc_paths,200,100000,1.36547832673687,199854674,2.944023293
rm,mc_paths,500,10000,1.34651562924665,103476284,1.860357166
rm,mc_paths,500,100000,1.33695562001112,1021959197,18.736598003
rm,mc_paths,1000,10000,1.33120621687272,368278349,7.519496133
rm,mc_paths,1000,100000,1.32327740259795,3675171616,75.645514541
cm,mc_paths,10,10000,0.510538441688156,112,0.002154588
cm,mc_paths,10,100000,0.522139027015758,218,0.021067186
cm,mc_paths,50,10000,1.31395224571958,1176,0.019407098
cm,mc_paths,50,100000,1.22490914128364,48087,0.208178706
cm,mc_paths,100,10000,1.36876148836414,763601,0.073789335
cm,mc_paths,100,100000,1.44561884897589,7169921,0.698662722
cm,mc_paths,200,10000,1.46848126336263,15239353,0.273752216
cm,mc_paths,200,100000,1.41480009178252,156346034,2.841390825
cm,mc_paths,500,10000,1.36199447744025,178475403,1.839214506
cm,mc_paths,500,100000,1.37597843107921,1975558597,18.205227229
cm,mc_paths,1000,10000,1.3326455980304,4100649284,7.511374378
cm,mc_paths,1000,100000,1.33319058455528,41023422569,75.083038509
